LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSf1,BsmtFinSf2,TotalBsmtSf,FirstFlrSf,SecondFlrSf,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSf,OpenPorchSf,EnclosedPorch,ThreeSsnPorch,ScreenPorch,SalePrice
11622,5,6,1961,1961,468,144,882,896,0,896,0,0,1,0,2,1,5,0,1,730,140,0,0,0,120,105000
14267,6,6,1958,1958,923,0,1329,1329,0,1329,0,0,1,1,3,1,6,0,1,312,393,36,0,0,0,172000
4920,8,5,2001,2001,616,0,1338,1338,0,1338,1,0,2,0,2,1,6,0,2,582,0,0,170,0,0,213500
5005,8,5,1992,1992,263,0,1280,1280,0,1280,0,0,2,0,2,1,5,0,2,506,0,82,0,0,144,191500
7980,6,7,1992,2007,935,0,1168,1187,0,1187,1,0,2,0,3,1,6,0,2,420,483,21,0,0,0,185000
8402,6,5,1998,1998,0,0,789,789,676,1465,0,0,2,1,3,1,7,1,2,393,0,75,0,0,0,180400
10176,7,5,1990,1990,637,0,1300,1341,0,1341,1,0,1,1,2,1,5,1,2,506,192,0,0,0,0,171500
19138,4,5,1951,1951,120,0,864,864,0,864,0,0,1,0,2,1,4,0,2,400,0,0,0,0,0,141000
11241,6,7,1970,1970,578,0,1004,1004,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,149000
12537,5,6,1971,2008,734,0,1078,1078,0,1078,1,0,1,1,3,1,6,1,2,500,0,0,0,0,0,149900
8450,5,6,1968,1968,775,0,1056,1056,0,1056,1,0,1,0,3,1,6,1,1,304,0,85,184,0,0,142000
8400,4,5,1970,1970,804,78,882,882,0,882,1,0,1,0,2,1,4,0,2,525,240,0,0,0,0,126000
10500,4,5,1971,1971,432,0,864,864,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,115000
5858,7,5,1999,1999,1051,0,1405,1337,0,1337,1,0,2,0,2,1,5,1,2,511,203,68,0,0,0,184000
1680,6,5,1971,1971,156,0,483,483,504,987,0,0,1,1,2,1,5,0,1,264,275,0,0,0,0,96000
1680,5,5,1971,1971,300,0,525,525,567,1092,0,0,1,1,3,1,6,0,1,320,0,0,0,0,0,105500
4043,6,5,1977,1977,360,0,1069,1069,0,1069,0,0,2,0,2,1,4,1,2,440,0,55,0,0,165,127500
2280,6,6,1975,1975,514,0,855,855,601,1456,0,0,2,1,3,1,6,1,2,440,173,0,0,0,0,149900
2280,7,6,1975,1975,0,0,836,836,0,836,0,0,1,0,2,1,4,0,1,308,0,30,0,0,0,120000
2280,6,5,1978,1978,311,0,855,855,601,1456,0,0,2,1,3,1,7,1,2,440,26,0,0,0,0,146000
7132,8,5,2006,2006,24,0,1370,1370,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,205000
18494,6,5,2005,2005,0,0,1324,1324,0,1324,0,0,2,0,3,1,6,0,2,430,36,23,0,0,0,199500
3203,7,5,2006,2006,16,0,1145,1145,0,1145,0,0,2,0,2,1,6,0,2,437,100,116,0,0,0,160000
3182,8,5,2004,2005,24,0,1256,1269,0,1269,0,0,2,0,2,1,6,1,2,430,146,20,0,0,144,192000
13300,7,5,2004,2004,326,0,384,744,630,1374,1,0,2,1,3,1,7,1,2,400,100,0,0,0,0,184500
7750,7,5,2000,2000,250,0,384,774,656,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,180000
10440,6,5,2005,2005,1414,0,1468,1468,0,1468,1,0,2,0,2,1,6,1,2,528,0,102,0,0,216,271500
8012,6,5,1980,1980,543,119,923,923,0,923,0,0,2,0,2,1,5,1,1,264,80,0,0,0,0,143000
7892,6,5,1979,1979,0,0,918,918,0,918,0,0,2,0,2,1,5,1,1,264,28,0,0,0,0,99500
7175,6,5,1984,1984,623,121,744,752,0,752,1,0,1,0,2,1,4,0,1,264,353,0,0,0,90,125000
9672,6,5,1984,1985,338,0,1040,1097,0,1097,0,0,2,0,3,1,6,0,2,480,0,0,0,0,0,152000
9800,5,5,1920,1950,0,0,816,1012,0,1012,0,0,1,0,2,1,5,0,1,429,121,0,80,0,0,67500
11782,5,7,1961,1995,899,0,1109,1155,0,1155,1,0,1,0,3,1,6,0,2,576,192,0,0,0,0,148000
8450,5,8,1965,2009,553,117,894,894,0,894,1,0,1,0,3,1,5,1,1,336,416,144,0,0,0,138500
9819,5,5,1967,1967,450,0,882,900,0,900,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,122000
7500,5,5,1963,1963,824,0,1040,1040,0,1040,1,0,1,1,3,1,5,0,1,308,0,0,220,0,0,133000
6897,5,8,1962,2010,659,0,1040,1040,0,1040,1,0,1,1,3,1,6,0,1,260,0,104,0,0,0,127000
